Date,Strategy_Name,Portfolio_Value,Daily_Return
2016-01-04,QQQ 10 day SMA,10000.0,0.0
2016-01-05,QQQ 10 day SMA,10100.908173562058,0.010090817356205853
2016-01-06,QQQ 10 day SMA,10383.451059535822,0.027972027972027972
2016-01-07,QQQ 10 day SMA,11352.169525731584,0.09329446064139942
2016-01-08,QQQ 10 day SMA,11614.530776992937,0.02311111111111111
2016-01-11,QQQ 10 day SMA,11533.80423814329,-0.0069504778453518675
2016-01-12,QQQ 10 day SMA,11094.853683148334,-0.03805774278215223
2016-01-13,QQQ 10 day SMA,12270.433905146318,0.10595725329695316
2016-01-14,QQQ 10 day SMA,11478.304742684157,-0.06455592105263158
2016-01-15,QQQ 10 day SMA,12547.931382441977,0.09318681318681318
2016-01-19,QQQ 10 day SMA,12492.431886982844,-0.004422999597909127
2016-01-20,QQQ 10 day SMA,12593.340060544904,0.008077544426494346
2016-01-21,QQQ 10 day SMA,12542.885973763876,-0.004006410256410256
2016-01-22,QQQ 10 day SMA,13563.818553023728,0.08139534883720938
2016-01-25,QQQ 10 day SMA,14166.787599615012,0.04445422535211268
2016-01-26,QQQ 10 day SMA,14564.73107151431,0.02808988764044946
2016-01-27,QQQ 10 day SMA,15655.509632281397,0.0748917748917749
2016-01-28,QQQ 10 day SMA,16208.057031067801,0.03529411764705886
2016-01-29,QQQ 10 day SMA,17313.151828640606,0.06818181818181812
2016-02-01,QQQ 10 day SMA,17405.24306177167,0.005319148936170218
2016-02-02,QQQ 10 day SMA,18482.747941781938,0.06190691369182106
2016-02-03,QQQ 10 day SMA,18773.752909375948,0.01574468085106383
2016-02-04,QQQ 10 day SMA,18781.61790850011,0.00041893590280687055
2016-02-05,QQQ 10 day SMA,20732.137691292417,0.10385259631490787
2016-02-08,QQQ 10 day SMA,21691.667584440245,0.04628224582701062
2016-02-09,QQQ 10 day SMA,21911.887559916795,0.01015228426395939
2016-02-10,QQQ 10 day SMA,21644.477589695267,-0.012203876525484566
2016-02-11,QQQ 10 day SMA,21683.80258531608,0.001816860465116279
2016-02-12,QQQ 10 day SMA,20755.732688664903,-0.04280014508523758
2016-02-16,QQQ 10 day SMA,22094.812216965864,0.06451612903225798
2016-02-17,QQQ 10 day SMA,23701.70765092702,0.0727272727272728
2016-02-18,QQQ 10 day SMA,22898.259933946443,-0.03389830508474579
2016-02-19,QQQ 10 day SMA,23032.167886776537,0.005847953216374275
2016-02-22,QQQ 10 day SMA,24237.339462247404,0.05232558139534888
2016-02-23,QQQ 10 day SMA,23032.16788677654,-0.04972375690607739
2016-02-24,QQQ 10 day SMA,23701.707650927023,0.029069767441860492
2016-02-25,QQQ 10 day SMA,24371.247415077505,0.028248587570621493
2016-02-26,QQQ 10 day SMA,24237.339462247408,-0.005494505494505499
