Date,Close,Open,High,Low,Volume
2010-02-11,12316800.0,12875200.0,13000000.0,12209600.0,nan
2010-02-12,12214400.0,12683200.0,12692800.0,12152000.0,nan
2010-02-16,11780800.0,11948800.0,12148800.0,11744000.0,nan
2010-02-17,11600000.0,11624000.0,11798400.0,11565760.0,nan
2010-02-18,11321600.0,11585600.0,11640000.0,11288000.0,nan
2010-02-19,11352000.0,11424000.0,11516800.0,11200000.0,nan
2010-02-22,11422400.0,11228800.0,11548800.0,11220800.0,nan
2010-02-23,11881600.0,11446400.0,12006400.0,11444800.0,nan
2010-02-24,11510400.0,11676800.0,11729600.0,11369600.0,nan
2010-02-25,11430400.0,11873600.0,12096000.0,11430400.0,nan
2010-02-26,11368000.0,11520000.0,11630224.0,11329600.0,nan
2010-03-01,10867216.0,11235200.0,11243200.0,10832000.0,nan
2010-03-02,10784000.0,10768000.0,10849600.0,10589440.0,nan
2010-03-03,10784000.0,10745600.0,10865600.0,10600000.0,nan
2010-03-04,10649600.0,10724800.0,10873600.0,10611200.0,nan
2010-03-05,10177600.0,10384000.0,10454400.0,10124800.0,nan
2010-03-08,10094400.0,10110400.0,10129600.0,10032000.0,nan
2010-03-09,9920000.0,10182400.0,10182400.0,9760000.0,nan
2010-03-10,9681600.0,9832000.0,9849600.0,9617600.0,nan
2010-03-11,9587200.0,9740800.0,9792048.0,9580800.0,nan
2010-03-12,9572800.0,9465600.0,9662400.0,9465600.0,nan
2010-03-15,9630384.0,9638144.0,9822400.0,9564800.0,nan
2010-03-16,9444800.0,9545600.0,9624000.0,9411200.0,nan
2010-03-17,9400000.0,9412800.0,9440720.0,9243200.0,nan
2010-03-18,9288000.0,9345600.0,9408000.0,9249600.0,nan
2010-03-19,9456000.0,9180800.0,9537600.0,9180800.0,nan
2010-03-22,9190400.0,9544000.0,9584000.0,9073600.0,nan
2010-03-23,9008000.0,9142400.0,9253184.0,8976000.0,nan
2010-03-24,9104000.0,9052800.0,9182384.0,9041600.0,nan
2010-03-25,9179200.0,8908800.0,9190400.0,8800000.0,nan
2010-03-26,9123200.0,9057600.0,9275200.0,8948800.0,nan
2010-03-29,9004800.0,8998400.0,9070400.0,8924816.0,nan
2010-03-30,8916800.0,8926400.0,9072000.0,8840000.0,nan
2010-03-31,9014400.0,9012800.0,9083200.0,8888016.0,nan
2010-04-01,9033600.0,8931200.0,9236176.0,8755200.0,nan
2010-04-05,8784000.0,8990400.0,9043200.0,8728000.0,nan
