Date,Strategy_Name,Portfolio_Value,Daily_Return
2020-03-02,Dual MA Trend Aggressive,10301.237012050384,0.05163109533764405
2020-03-03,Dual MA Trend Aggressive,9970.736411691503,-0.032083583745550356
2020-03-04,Dual MA Trend Aggressive,10386.957628858163,0.04174428046042895
2020-03-05,Dual MA Trend Aggressive,10071.220023616175,-0.03039750584567431
2020-03-06,Dual MA Trend Aggressive,9901.207466947413,-0.016881028938906723
2020-03-09,Dual MA Trend Aggressive,9213.537629889452,-0.0694531287576355
2020-03-10,Dual MA Trend Aggressive,7775.866341804676,-0.15603900975243812
2020-03-11,Dual MA Trend Aggressive,7437.387453984944,-0.04352941176470586
2020-03-12,Dual MA Trend Aggressive,9493.848621048028,0.276503164556962
2020-03-13,Dual MA Trend Aggressive,6801.914475321673,-0.2835450883173226
2020-03-16,Dual MA Trend Aggressive,9029.011905173968,0.3274221453287197
2020-03-17,Dual MA Trend Aggressive,7378.547363367973,-0.1827956989247312
2020-03-18,Dual MA Trend Aggressive,7925.760206105789,0.07416267942583732
2020-03-19,Dual MA Trend Aggressive,7825.732052056941,-0.012620638455827766
2020-03-20,Dual MA Trend Aggressive,8625.957284447726,0.10225563909774436
2020-03-23,Dual MA Trend Aggressive,8673.0293569413,0.005457025920873124
2020-03-24,Dual MA Trend Aggressive,6719.538348457914,-0.22523744911804613
2020-03-25,Dual MA Trend Aggressive,6813.682493445066,0.014010507880910683
2020-03-26,Dual MA Trend Aggressive,5728.082821561979,-0.15932642487046633
2020-03-27,Dual MA Trend Aggressive,6281.179673361492,0.09655880842321521
2020-03-30,Dual MA Trend Aggressive,5601.576626735495,-0.10819672131147541
2020-03-31,Dual MA Trend Aggressive,5725.140817031131,0.022058823529411766
2020-04-01,Dual MA Trend Aggressive,6457.699945212401,0.12795477903391572
2020-04-02,Dual MA Trend Aggressive,6075.239356202099,-0.05922551252847381
2020-04-03,Dual MA Trend Aggressive,6313.541723200825,0.03922518159806295
2020-04-06,Dual MA Trend Aggressive,4986.6976797881625,-0.21015843429636533
