Date,Strategy_Name,Portfolio_Value,Total_Invested,Daily_Return
2019-01-02,QQQ Buy and Hold,1000.0,1000.0,0.0
2019-01-03,QQQ Buy and Hold,967.3126614987079,1000.0,-0.032687338501292004
2019-01-04,QQQ Buy and Hold,1008.720930232558,1000.0,0.04280753305729929
2019-01-07,QQQ Buy and Hold,1020.7364341085269,1000.0,0.011911623439000865
2019-01-08,QQQ Buy and Hold,1029.974160206718,1000.0,0.009050060122777082
2019-01-09,QQQ Buy and Hold,1038.3720930232555,1000.0,0.008153537380832987
2019-01-10,QQQ Buy and Hold,1041.3436692506457,1000.0,0.0028617643399277064
2019-01-11,QQQ Buy and Hold,1037.532299741602,1000.0,-0.0036600496277914086
2019-01-14,QQQ Buy and Hold,1028.3591731266147,1000.0,-0.008841292572069085
2019-01-15,QQQ Buy and Hold,1048.3850129198963,1000.0,0.019473585024184902
2019-01-16,QQQ Buy and Hold,1048.191214470284,1000.0,-0.00018485427321462283
2019-01-17,QQQ Buy and Hold,1056.4599483204133,1000.0,0.007888573893750778
2019-01-18,QQQ Buy and Hold,1066.9250645994832,1000.0,0.009905833435245228
2019-01-22,QQQ Buy and Hold,1045.5426356589148,1000.0,-0.0200411721966578
2019-01-23,QQQ Buy and Hold,1046.8992248062018,1000.0,0.001297497683039901
2019-01-24,QQQ Buy and Hold,1053.682170542636,1000.0,0.006479081821547645
2019-01-25,QQQ Buy and Hold,1066.279069767442,1000.0,0.01195512231009741
2019-01-28,QQQ Buy and Hold,1053.1007751937987,1000.0,-0.012359142130134448
2019-01-29,QQQ Buy and Hold,1043.217054263566,1000.0,-0.009385351490614655
2019-01-30,QQQ Buy and Hold,1069.702842377261,1000.0,0.025388568951637835
2019-01-31,QQQ Buy and Hold,1085.7235142118864,1000.0,0.014976749803732047
2019-02-01,QQQ Buy and Hold,2076.9125206074928,2000.0,-0.00422443029689998
2019-02-04,QQQ Buy and Hold,2102.7250089133217,2000.0,0.012428298279158603
2019-02-05,QQQ Buy and Hold,2121.339784133872,2000.0,0.008852691218130312
2019-02-06,QQQ Buy and Hold,2115.010760558885,2000.0,-0.0029835029835029304
2019-02-07,QQQ Buy and Hold,2086.5922037221785,2000.0,-0.013436601537288156
2019-02-08,QQQ Buy and Hold,2090.6874542706996,2000.0,0.0019626501724753927
2019-02-11,QQQ Buy and Hold,2088.701878247174,2000.0,-0.000949723986466413
2019-02-12,QQQ Buy and Hold,2119.602405113287,2000.0,0.014794129879389276
2019-02-13,QQQ Buy and Hold,2121.0915871309307,2000.0,0.0007025761124120381
2019-02-14,QQQ Buy and Hold,2123.697655661808,2000.0,0.0012286449801076993
2019-02-15,QQQ Buy and Hold,2132.632747767672,2000.0,0.004207327762519715
2019-02-19,QQQ Buy and Hold,2136.852096817663,2000.0,0.0019784695955775583
2019-02-20,QQQ Buy and Hold,2136.479801313252,2000.0,-0.0001742261455369135
2019-02-21,QQQ Buy and Hold,2128.6615957206213,2000.0,-0.0036593866171003454
2019-02-22,QQQ Buy and Hold,2144.4221054073537,2000.0,0.007403952661342099
2019-02-25,QQQ Buy and Hold,2152.2403109999846,2000.0,0.003645833333333307
2019-02-26,QQQ Buy and Hold,2154.474084026451,2000.0,0.0010378827192527636
2019-02-27,QQQ Buy and Hold,2153.109000510277,2000.0,-0.0006336040550660309
2019-02-28,QQQ Buy and Hold,2148.1450604514635,2000.0,-0.002305475504322799
2019-03-01,QQQ Buy and Hold,3169.9692896400356,3000.0,0.006932409012131814
2019-03-04,QQQ Buy and Hold,3170.5148953697503,3000.0,0.00017211703958692562
2019-03-05,QQQ Buy and Hold,3172.8791868651783,3000.0,0.0007457121551081021
2019-03-06,QQQ Buy and Hold,3154.8741977846066,3000.0,-0.005674653215636874
2019-03-07,QQQ Buy and Hold,3116.136190974892,3000.0,-0.012278780192540471
2019-03-08,QQQ Buy and Hold,3111.4076079840347,3000.0,-0.0015174506828527542
2019-03-11,QQQ Buy and Hold,3176.152821243463,3000.0,0.020808978255786613
2019-03-12,QQQ Buy and Hold,3193.6122045943207,3000.0,0.005497022446175034
2019-03-13,QQQ Buy and Hold,3217.6188567017493,3000.0,0.007517084282460098
2019-03-14,QQQ Buy and Hold,3212.1627994046066,3000.0,-0.0016956816640288433
2019-03-15,QQQ Buy and Hold,3241.989245962321,3000.0,0.009285471634016456
2019-03-18,QQQ Buy and Hold,3243.807931728036,3000.0,0.0005609783462359629
2019-03-19,QQQ Buy and Hold,3254.7200463223217,3000.0,0.0033639829558196584
2019-03-20,QQQ Buy and Hold,3267.6327152588924,3000.0,0.003967367009387458
2019-03-21,QQQ Buy and Hold,3318.5559166988937,3000.0,0.01558412645405472
2019-03-22,QQQ Buy and Hold,3245.8084860703216,3000.0,-0.021921411738915986
2019-03-25,QQQ Buy and Hold,3239.624954466893,3000.0,-0.0019050820866252222
2019-03-26,QQQ Buy and Hold,3254.720046322322,3000.0,0.004659518329310125
2019-03-27,QQQ Buy and Hold,3233.8051600166073,3000.0,-0.006426016987036241
2019-03-28,QQQ Buy and Hold,3241.2617716560358,3000.0,0.002305832067937667
2019-03-29,QQQ Buy and Hold,3265.8140294931786,3000.0,0.007574907417798195
2019-04-01,QQQ Buy and Hold,4322.11507783031,4000.0,0.013198195689703205
2019-04-02,QQQ Buy and Hold,4338.506522282893,4000.0,0.003792459052434856
2019-04-03,QQQ Buy and Hold,4363.450024710736,4000.0,0.0057493292449214885
2019-04-04,QQQ Buy and Hold,4361.7871245488805,4000.0,-0.0003810975609755726
2019-04-05,QQQ Buy and Hold,4384.355055316929,4000.0,0.00517401013016714
2019-04-08,QQQ Buy and Hold,4395.520242117964,4000.0,0.002546597312527085
2019-04-09,QQQ Buy and Hold,4380.079026329298,4000.0,-0.0035129438469437696
2019-04-10,QQQ Buy and Hold,4403.597185761266,4000.0,0.005369345916043004
2019-04-11,QQQ Buy and Hold,4393.1446704581695,4000.0,-0.002373631116146074
2019-04-12,QQQ Buy and Hold,4412.149243736526,4000.0,0.004325961174498367
2019-04-15,QQQ Buy and Hold,4412.8619152344645,4000.0,0.0001615247940558937
2019-04-16,QQQ Buy and Hold,4428.06557385715,4000.0,0.003445305770887246
2019-04-17,QQQ Buy and Hold,4443.506789645815,4000.0,0.003487124463519344
2019-04-18,QQQ Buy and Hold,4449.208161629322,4000.0,0.001283079390537186
2019-04-22,QQQ Buy and Hold,4461.798691426233,4000.0,0.002829836083079722
2019-04-23,QQQ Buy and Hold,4518.574854095325,4000.0,0.012724949419657197
2019-04-24,QQQ Buy and Hold,4504.321424136557,4000.0,-0.003154408285579067
2019-04-25,QQQ Buy and Hold,4522.613325916975,4000.0,0.004060967248562744
2019-04-26,QQQ Buy and Hold,4526.651797738626,4000.0,0.0008929509402248972
2019-04-29,QQQ Buy and Hold,4535.441412879865,4000.0,0.0019417475728154086
2019-04-30,QQQ Buy and Hold,4500.282952314906,4000.0,-0.007751937984496071
2019-05-01,QQQ Buy and Hold,5482.571948298268,5000.0,-0.003220016891891814
2019-05-02,QQQ Buy and Hold,5458.763713390654,5000.0,-0.004342530318275812
2019-05-03,QQQ Buy and Hold,5545.86701183314,5000.0,0.015956598053295037
2019-05-06,QQQ Buy and Hold,5511.896725440571,5000.0,-0.006125333752159508
2019-05-07,QQQ Buy and Hold,5404.46932402817,5000.0,-0.01949009692372533
2019-05-08,QQQ Buy and Hold,5390.823140605514,5000.0,-0.0025249811969485273
2019-05-09,QQQ Buy and Hold,5361.788707791352,5000.0,-0.005385899714547316
2019-05-10,QQQ Buy and Hold,5368.466627338609,5000.0,0.0012454648833054541
2019-05-13,QQQ Buy and Hold,5182.355912999829,5000.0,-0.03466738777717683
2019-05-14,QQQ Buy and Hold,5239.263401315587,5000.0,0.010981007339346626
2019-05-15,QQQ Buy and Hold,5313.0108606635595,5000.0,0.014075921307841622
2019-05-16,QQQ Buy and Hold,5366.434217041618,5000.0,0.010055194272911107
2019-05-17,QQQ Buy and Hold,5311.55913902285,5000.0,-0.010225612725207027
2019-05-20,QQQ Buy and Hold,5222.133085955231,5000.0,-0.0168361211326117
2019-05-21,QQQ Buy and Hold,5276.427475317713,5000.0,0.01039697542533068
2019-05-22,QQQ Buy and Hold,5252.909584738241,5000.0,-0.004457161723435879
2019-05-23,QQQ Buy and Hold,5172.774550171154,5000.0,-0.015255361485739504
2019-05-24,QQQ Buy and Hold,5170.161451217879,5000.0,-0.0005051638976201359
2019-05-28,QQQ Buy and Hold,5150.708381232391,5000.0,-0.00376256528331548
2019-05-29,QQQ Buy and Hold,5108.3181093237135,5000.0,-0.008229988726042886
