Date,Strategy_Name,Portfolio_Value,Daily_Return
2024-01-02,Adaptive Leverage,10000.0,0.0
2024-01-03,Adaptive Leverage,9680.099709181555,-0.031990029081844604
2024-01-04,Adaptive Leverage,9630.281205920886,-0.005146486581477698
2024-01-05,Adaptive Leverage,9641.70300910748,0.0011860300797416658
2024-01-08,Adaptive Leverage,9840.977022150153,0.020667926906112133
2024-01-09,Adaptive Leverage,9901.524460760593,0.00615258408531592
2024-01-10,Adaptive Leverage,10099.31276022136,0.019975540154912288
2024-01-11,Adaptive Leverage,10147.750711109713,0.004796163069544404
2024-01-12,Adaptive Leverage,10159.8601988318,0.0011933174224344127
2024-01-16,Adaptive Leverage,10155.823702924437,-0.00039729837107674065
2024-01-17,Adaptive Leverage,9978.21788300048,-0.017488076311605774
2024-01-18,Adaptive Leverage,10406.08644918092,0.04288025889967647
2024-01-19,Adaptive Leverage,11007.524339377955,0.05779674166020164
2024-01-22,Adaptive Leverage,11051.925794358944,0.004033736707004013
2024-01-23,Adaptive Leverage,11181.09366339455,0.0116873630387144
2024-01-24,Adaptive Leverage,11366.772475133232,0.01660649819494588
2024-01-25,Adaptive Leverage,11399.064442392131,0.0028409090909090303
2024-01-26,Adaptive Leverage,11189.166655209274,-0.018413597733711033
2024-01-29,Adaptive Leverage,11516.12282370565,0.029220779220779303
2024-01-30,Adaptive Leverage,11290.07905289334,-0.019628461268839898
2024-01-31,Adaptive Leverage,10624.057228178503,-0.058991776903825476
2024-02-01,Adaptive Leverage,10999.451347563228,0.03533434650455926
2024-02-02,Adaptive Leverage,11552.451286871912,0.0502752293577982
2024-02-05,Adaptive Leverage,11495.940344168836,-0.004891684136967176
2024-02-06,Adaptive Leverage,11427.31991374367,-0.005969101123595565
2024-02-07,Adaptive Leverage,11770.422065869496,0.030024726245143112
2024-02-08,Adaptive Leverage,11814.823520850485,0.0037722908093278267
2024-02-09,Adaptive Leverage,12165.998664791035,0.02972326614280837
2024-02-12,Adaptive Leverage,12020.684812125979,-0.011944260119442583
2024-02-13,Adaptive Leverage,11451.538889187845,-0.04734721289456011
2024-02-14,Adaptive Leverage,11814.823520850483,0.031723651744800796
2024-02-15,Adaptive Leverage,11911.699422627187,0.008199521694567885
2024-02-16,Adaptive Leverage,11584.743254130812,-0.0274483226025077
2024-02-20,Adaptive Leverage,11318.334524244878,-0.022996515679442515
2024-02-21,Adaptive Leverage,11273.042115660073,-0.0040016849199662535
2024-02-22,Adaptive Leverage,11603.067502190286,0.029275627922276212
2024-02-23,Adaptive Leverage,11498.917627669296,-0.008976063829787221
2024-02-26,Adaptive Leverage,11483.48801662915,-0.0013418316001341545
2024-02-27,Adaptive Leverage,11552.921266309808,0.006046355391333548
2024-02-28,Adaptive Leverage,11367.765933828048,-0.01602671118530886
2024-02-29,Adaptive Leverage,11641.641529790651,0.024092297251442175
2024-03-01,Adaptive Leverage,12177.820513435749,0.04605699138502321
2024-03-04,Adaptive Leverage,12031.239208554356,-0.012036743744060786
2024-03-05,Adaptive Leverage,11387.052947628232,-0.05354280218018601
2024-03-06,Adaptive Leverage,11599.21009943025,0.01863143631436317
2024-03-07,Adaptive Leverage,12116.102069275163,0.04456268706351845
2024-03-08,Adaptive Leverage,11583.780488390104,-0.04393505253104104
2024-03-11,Adaptive Leverage,11448.771391788821,-0.011655011655011703
2024-03-12,Adaptive Leverage,11934.804139553442,0.0424528301886793
2024-03-13,Adaptive Leverage,11657.071140830802,-0.023270846800258642
2024-03-14,Adaptive Leverage,11564.493474589923,-0.007941760423560505
2024-03-15,Adaptive Leverage,11140.17917098589,-0.0366911274182789
2024-03-18,Adaptive Leverage,11231.576289921892,0.008204277286135698
2024-03-19,Adaptive Leverage,11259.560239259039,0.0024915424705128806
2024-03-20,Adaptive Leverage,11617.30546425222,0.03177257525083622
2024-03-21,Adaptive Leverage,11767.9350326704,0.012965964343598008
2024-03-22,Adaptive Leverage,11794.295207143583,0.002240000000000009
2024-03-25,Adaptive Leverage,11673.791552409037,-0.010217113665389537
2024-03-26,Adaptive Leverage,11560.819376095402,-0.009677419354838733
2024-03-27,Adaptive Leverage,11666.260073988127,0.009120521172638474
2024-03-28,Adaptive Leverage,11590.945289779036,-0.006455777921239486
2024-04-01,Adaptive Leverage,11662.494334777672,0.0061728395061727654
2024-04-02,Adaptive Leverage,11349.937980309945,-0.026800129157248897
2024-04-03,Adaptive Leverage,11375.411079084643,0.002244338146947494
2024-04-04,Adaptive Leverage,10839.259535146244,-0.04713249835201054
2024-04-05,Adaptive Leverage,10966.988210239966,0.01178389304911116
2024-04-08,Adaptive Leverage,10970.224999277429,0.0002951392830385621
2024-04-09,Adaptive Leverage,11010.809354131768,0.0036995006808896854
2024-04-10,Adaptive Leverage,10723.349361079418,-0.026107072042300155
2024-04-11,Adaptive Leverage,10894.582441645049,0.015968246002235554
2024-04-12,Adaptive Leverage,10368.39353279412,-0.04829821717990282
2024-04-15,Adaptive Leverage,10197.82261219393,-0.016451046158760536
2024-04-16,Adaptive Leverage,10198.768914111268,9.279450656525881e-05
2024-04-17,Adaptive Leverage,10074.330211981307,-0.012201345395499994
2024-04-18,Adaptive Leverage,10016.84237050302,-0.005706368589141344
2024-04-19,Adaptive Leverage,9809.602250605978,-0.020689166528896453
2024-04-22,Adaptive Leverage,9809.602250605978,0.0
2024-04-23,Adaptive Leverage,9955.989753748825,0.014922878563583401
2024-04-24,Adaptive Leverage,9989.717434472937,0.003387677323734909
2024-04-25,Adaptive Leverage,9941.468113437055,-0.004829898478347524
2024-04-26,Adaptive Leverage,10094.882216730759,0.015431735186712243
2024-04-29,Adaptive Leverage,10135.870717610756,0.004060324825986079
2024-04-30,Adaptive Leverage,9556.056876059909,-0.05720414730067923
2024-05-01,Adaptive Leverage,9486.961761691922,-0.0072305047222025794
2024-05-02,Adaptive Leverage,9608.047010975235,0.01276333270070221
2024-05-03,Adaptive Leverage,9801.15322637502,0.02009838369641612
2024-05-06,Adaptive Leverage,10122.672538562983,0.032804232804232794
2024-05-07,Adaptive Leverage,10122.672538562983,0.0
2024-05-08,Adaptive Leverage,10105.386554036748,-0.001707650273224068
2024-05-09,Adaptive Leverage,10160.7017045207,0.00547382825863839
2024-05-10,Adaptive Leverage,10226.38844572039,0.006464783940115608
2024-05-13,Adaptive Leverage,10295.532383825328,0.006761325219743166
2024-05-14,Adaptive Leverage,10485.678213613908,0.01846877098723966
2024-05-15,Adaptive Leverage,10973.142977253725,0.046488625123639965
2024-05-16,Adaptive Leverage,10903.999039148786,-0.006301197227473198
2024-05-17,Adaptive Leverage,10879.798660812057,-0.002219403931515545
2024-05-20,Adaptive Leverage,11104.516459653105,0.020654591674610697
2024-05-21,Adaptive Leverage,11159.831610137056,0.004981320049813316
2024-05-22,Adaptive Leverage,11152.917216326561,-0.0006195786864932815
2024-05-23,Adaptive Leverage,10986.97176487471,-0.014879107253564691
2024-05-24,Adaptive Leverage,11294.662289441685,0.028005034612964146
2024-05-28,Adaptive Leverage,11419.121378030573,0.011019283746556455
2024-05-29,Adaptive Leverage,11180.574791568537,-0.02089009990917341
2024-05-30,Adaptive Leverage,10821.026313422855,-0.03215831787260367
2024-05-31,Adaptive Leverage,10807.197525801868,-0.001277955271565468
2024-06-03,Adaptive Leverage,10914.370629864523,0.009916826615483003
2024-06-04,Adaptive Leverage,10997.343355590448,0.007602153943617309
