Date,Strategy_Name,Portfolio_Value,Daily_Return
2024-03-25,Dual MA Short Term,10645.058119726044,-0.0036291948564003865
2024-03-26,Dual MA Short Term,10610.592601935763,-0.003237701232125186
2024-03-27,Dual MA Short Term,10646.73352684085,0.0034061174772173396
2024-03-28,Dual MA Short Term,10627.107329210272,-0.0018434008497628155
2024-04-01,Dual MA Short Term,10649.605653323373,0.0021170694353730723
2024-04-02,Dual MA Short Term,10557.697605882624,-0.008630183166647883
2024-04-03,Dual MA Short Term,10581.392649363443,0.002244338146947494
2024-04-04,Dual MA Short Term,10419.596190847955,-0.015290658222121799
2024-04-05,Dual MA Short Term,10419.596190847955,0.0
2024-04-08,Dual MA Short Term,10422.671422997273,0.0002951392830385621
2024-04-09,Dual MA Short Term,10461.230103023341,0.0036995006808896854
2024-04-10,Dual MA Short Term,10369.919363820505,-0.00872848969992993
2024-04-11,Dual MA Short Term,10535.508787245337,0.015968246002235554
2024-04-12,Dual MA Short Term,10367.55380062872,-0.01594180119900313
2024-04-15,Dual MA Short Term,10196.996694501144,-0.016451046158760536
2024-04-16,Dual MA Short Term,10196.996694501144,0.0
2024-04-17,Dual MA Short Term,10571.3619577608,0.03671328671328671
2024-04-18,Dual MA Short Term,10758.544589390629,0.01770657672849916
2024-04-19,Dual MA Short Term,11444.880905366666,0.06379453189726594
2024-04-22,Dual MA Short Term,11115.082935352206,-0.02881619937694704
2024-04-23,Dual MA Short Term,10615.929251005997,-0.04490777866880513
2024-04-24,Dual MA Short Term,10526.794664515603,-0.008396305625524769
2024-04-25,Dual MA Short Term,10526.794664515603,0.0
2024-04-26,Dual MA Short Term,10026.771917951111,-0.0475
2024-04-29,Dual MA Short Term,10026.771917951111,0.0
2024-04-30,Dual MA Short Term,10026.771917951111,0.0
2024-05-01,Dual MA Short Term,10026.771917951111,0.0
2024-05-02,Dual MA Short Term,9665.742487190188,-0.03600654664484452
2024-05-03,Dual MA Short Term,9665.742487190188,0.0
2024-05-06,Dual MA Short Term,9665.742487190188,0.0
2024-05-07,Dual MA Short Term,9667.27934573443,0.00015900056785915544
2024-05-08,Dual MA Short Term,9661.571013998668,-0.0005904796511627701
2024-05-09,Dual MA Short Term,9682.647931176867,0.002181520701722446
2024-05-10,Dual MA Short Term,9705.481258119918,0.0023581696975194335
2024-05-13,Dual MA Short Term,9727.875482621757,0.002307379088811432
2024-05-14,Dual MA Short Term,9790.447580494538,0.0064322469982847855
2024-05-15,Dual MA Short Term,10245.592027856797,0.046488625123639965
2024-05-16,Dual MA Short Term,10181.032531777044,-0.006301197227473198
2024-05-17,Dual MA Short Term,10158.436708149131,-0.002219403931515545
2024-05-20,Dual MA Short Term,10368.255070408326,0.020654591674610697
2024-05-21,Dual MA Short Term,10419.902667272128,0.004981320049813316
2024-05-22,Dual MA Short Term,10413.446717664152,-0.0006195786864932815
2024-05-23,Dual MA Short Term,10258.503927072747,-0.014879107253564691
2024-05-24,Dual MA Short Term,10355.512660148492,0.009456421108318925
2024-05-28,Dual MA Short Term,10469.622992491724,0.011019283746556455
2024-05-29,Dual MA Short Term,10250.911522167193,-0.02089009990917341
2024-05-30,Dual MA Short Term,10141.089952314864,-0.01071334677065986
2024-05-31,Dual MA Short Term,10122.224897370905,-0.0018602591075186177
2024-06-03,Dual MA Short Term,10176.5742223285,0.0053693062057642744
2024-06-04,Dual MA Short Term,10204.422636769583,0.0027365215280383314
2024-06-05,Dual MA Short Term,10410.141569253703,0.02015978167572676
2024-06-06,Dual MA Short Term,10406.548225454855,-0.00034517722693238446
2024-06-07,Dual MA Short Term,10397.340281970304,-0.0008848220644409975
