Date,Strategy_Name,Portfolio_Value,Daily_Return
2024-02-20,QQQ 50 Day SMA w/ Gradient,9919.24755264775,-0.013891343458761269
2024-02-21,QQQ 50 Day SMA w/ Gradient,9859.061034274939,-0.0060676495927099346
2024-02-22,QQQ 50 Day SMA w/ Gradient,9859.061034274939,0.0
2024-02-23,QQQ 50 Day SMA w/ Gradient,9776.11564243368,-0.00841311272472094
2024-02-26,QQQ 50 Day SMA w/ Gradient,9765.200241459934,-0.0011165376283364832
2024-02-27,QQQ 50 Day SMA w/ Gradient,9818.087058126144,0.00541584559031066
2024-02-28,QQQ 50 Day SMA w/ Gradient,9698.538962379016,-0.012176312456730832
2024-02-29,QQQ 50 Day SMA w/ Gradient,9910.597100801331,0.021864957107961956
2024-03-01,QQQ 50 Day SMA w/ Gradient,9910.597100801331,0.0
2024-03-04,QQQ 50 Day SMA w/ Gradient,9910.597100801331,0.0
2024-03-05,QQQ 50 Day SMA w/ Gradient,9560.653553594777,-0.03531003668570683
2024-03-06,QQQ 50 Day SMA w/ Gradient,9695.695243522117,0.014124734169095033
2024-03-07,QQQ 50 Day SMA w/ Gradient,9695.695243522117,0.0
2024-03-08,QQQ 50 Day SMA w/ Gradient,9393.539028150572,-0.031163955526904853
2024-03-11,QQQ 50 Day SMA w/ Gradient,9327.846936969716,-0.006993327113880026
2024-03-12,QQQ 50 Day SMA w/ Gradient,9670.690885712238,0.03675488578009402
2024-03-13,QQQ 50 Day SMA w/ Gradient,9521.780099448148,-0.0153981538675892
2024-03-14,QQQ 50 Day SMA w/ Gradient,9476.063694929306,-0.00480124556977448
2024-03-15,QQQ 50 Day SMA w/ Gradient,9367.401543980377,-0.011467013566727531
2024-03-18,QQQ 50 Day SMA w/ Gradient,9484.451855899208,0.012495494227430381
2024-03-19,QQQ 50 Day SMA w/ Gradient,9514.129603010913,0.003129094602683431
2024-03-20,QQQ 50 Day SMA w/ Gradient,9683.085682881894,0.017758437915068183
2024-03-21,QQQ 50 Day SMA w/ Gradient,9773.303576440132,0.009317060337256704
2024-03-22,QQQ 50 Day SMA w/ Gradient,9789.07126167646,0.0016133424192755078
2024-03-25,QQQ 50 Day SMA w/ Gradient,9730.89330509642,-0.005943153852378285
