date,strategy,portfolio_value,daily_return,tqqq_position,sqqq_position,qqq_close,qqq_open,qqq_high,qqq_low,qqq_volume,ma_50,deviation_pct,cumulative_return
2025-01-30,Buy_Hold_QQQ,10071.5415172201,-0.0014530159640569562,1.0,0.0,522.29,526.92,531.5178,521.19,38845467,,,0.00715415172200992
2025-01-31,Buy_Hold_QQQ,10071.5415172201,0.0,1.0,0.0,522.29,526.92,531.52,521.19,38850000,,,0.00715415172200992
2025-02-03,Buy_Hold_QQQ,10113.579389872342,0.004173926362748786,1.0,0.0,524.47,518.63,525.11,518.23,26046753,,,0.01135793898723423
2025-02-04,Buy_Hold_QQQ,10159.473948089011,0.004537914466032367,1.0,0.0,526.85,521.82,527.01,520.62,21134070,,,0.015947394808901116
2025-02-05,Buy_Hold_QQQ,10212.503374599868,0.0052197020024674955,1.0,0.0,529.6,527.36,529.81,525.7413,19434454,,,0.021250337459986803
2025-02-06,Buy_Hold_QQQ,10083.69007674804,-0.012613293051359636,1.0,0.0,522.92,530.14,532.1,522.19,29605470,,,0.008369007674804016
2025-02-07,Buy_Hold_QQQ,10083.69007674804,0.0,1.0,0.0,522.92,530.14,532.1,522.19,29610000,,,0.008369007674804016
2025-02-10,Buy_Hold_QQQ,10181.457055806239,0.009695555725541288,1.0,0.0,527.99,525.96,529.92,525.83,19325500,,,0.01814570558062387
2025-02-11,Buy_Hold_QQQ,10187.434918431098,0.0005871323320516401,1.0,0.0,528.3,522.3,529.19,521.95,25009362,,,0.018743491843109767
2025-02-12,Buy_Hold_QQQ,10333.988969879283,0.014385765663448843,1.0,0.0,535.9,529.98,536.22,529.19,28714799,,,0.03339889698792831
2025-02-13,Buy_Hold_QQQ,10377.376682479075,0.004198544504571748,1.0,0.0,538.15,536.005,538.84,535.67,17862572,,,0.03773766824790746
2025-02-14,Buy_Hold_QQQ,10377.376682479075,0.0,1.0,0.0,538.15,536.01,538.84,535.67,17860000,,,0.03773766824790746
2025-02-18,Buy_Hold_QQQ,10403.794978595392,0.0025457586174858398,1.0,0.0,539.52,538.57,540.81,536.46,19666861,,,0.04037949785953915
2025-02-19,Buy_Hold_QQQ,10359.635928882715,-0.004244513641755567,1.0,0.0,537.23,538.73,539.1,532.46,26550753,,,0.03596359288827152
2025-02-20,Buy_Hold_QQQ,10144.62570866597,-0.020754611618859664,1.0,0.0,526.08,538.38,538.4,525.71,47093750,,,0.01446257086659698
2025-02-21,Buy_Hold_QQQ,10144.62570866597,0.0,1.0,0.0,526.08,538.38,538.4,525.71,47090000,,,0.01446257086659698
2025-02-24,Buy_Hold_QQQ,9898.569169655595,-0.024254866180048643,1.0,0.0,513.32,519.24,519.32,509.44,48940025,,,-0.010143083034440496
2025-02-25,Buy_Hold_QQQ,9922.480620155035,0.002415647159666281,1.0,0.0,514.56,515.53,519.66,511.37,34457618,,,-0.007751937984496545
2025-02-26,Buy_Hold_QQQ,9646.920436576802,-0.027771299751243712,1.0,0.0,500.27,518.13,519.0699,500.05,52447966,,,-0.03530795634231981
2025-02-27,Buy_Hold_QQQ,9799.259516371627,0.01579147260479348,1.0,0.0,508.17,500.13,508.78,496.93,47654043,,,-0.020074048362837313
2025-02-28,Buy_Hold_QQQ,9799.259516371627,0.0,1.0,0.0,508.17,500.13,508.78,496.93,47650000,,,-0.020074048362837313
2025-03-03,Buy_Hold_QQQ,9555.90265725635,-0.02483420902453904,1.0,0.0,495.55,494.18,503.74,487.735,67875402,,,-0.044409734274364926
2025-03-04,Buy_Hold_QQQ,9680.473600987307,0.013036020583190353,1.0,0.0,502.01,496.2,503.63,491.26,46323725,,,-0.03195263990126932
2025-03-05,Buy_Hold_QQQ,9414.169462763697,-0.027509412163104326,1.0,0.0,488.2,493.69,498.58,486.2,57574332,,,-0.05858305372363029
2025-03-06,Buy_Hold_QQQ,9483.396968645144,0.007353543629660041,1.0,0.0,491.79,487.16,493.28,480.53,54714726,,,-0.05166030313548563
2025-03-07,Buy_Hold_QQQ,9483.396968645144,0.0,1.0,0.0,491.79,487.16,493.28,480.53,54710000,,,-0.05166030313548563
2025-03-10,Buy_Hold_QQQ,9094.064560916346,-0.04105410846092844,1.0,0.0,471.6,472.35,478.805,467.01,68760771,,,-0.09059354390836542
2025-03-11,Buy_Hold_QQQ,9196.652396930076,0.011280746395250197,1.0,0.0,476.92,479.16,481.06,471.79,46971082,,,-0.0803347603069924
2025-03-12,Buy_Hold_QQQ,9031.200586216202,-0.017990438647991363,1.0,0.0,468.34,476.25,476.2801,466.43,46563349,,,-0.09687994137837977
2025-03-13,Buy_Hold_QQQ,9249.488989162712,0.02417047444164507,1.0,0.0,479.66,473.73,480.56,473.12,43563010,,,-0.07505110108372882
2025-03-14,Buy_Hold_QQQ,9249.488989162712,0.0,1.0,0.0,479.66,473.73,480.56,473.12,43560000,,,-0.07505110108372882
2025-03-17,Buy_Hold_QQQ,9150.757838713409,-0.010674227577867665,1.0,0.0,474.54,479.41,479.61,472.41,39072265,521.2184,-0.08955631650762896,-0.0849242161286591
