Date,Allocation
2007-01-11,"{""SQQQ"": 17.584880307032492, ""TQQQ"": 82.41511969296751}"
2007-01-12,"{""SQQQ"": 13.637700608489457, ""TQQQ"": 86.36229939151055}"
2007-01-16,"{""SQQQ"": 15.605879085822282, ""TQQQ"": 84.39412091417772}"
2007-01-17,"{""SQQQ"": 25.46150073115838, ""TQQQ"": 74.53849926884162}"
2007-01-18,"{""SQQQ"": 45.42019693153204, ""TQQQ"": 54.57980306846796}"
2007-01-19,"{""SQQQ"": 44.38631486963157, ""TQQQ"": 55.61368513036843}"
2007-01-22,"{""SQQQ"": 55.66103306994437, ""TQQQ"": 44.33896693005564}"
2007-01-23,"{""SQQQ"": 58.51606533097442, ""TQQQ"": 41.48393466902559}"
2007-01-24,"{""SQQQ"": 42.86853153881638, ""TQQQ"": 57.13146846118362}"
2007-01-25,"{""SQQQ"": 56.08269172808734, ""TQQQ"": 43.91730827191266}"
2007-01-26,"{""SQQQ"": 59.98009459632216, ""TQQQ"": 40.01990540367784}"
2007-01-29,"{""SQQQ"": 59.13485900543704, ""TQQQ"": 40.86514099456296}"
2007-01-30,"{""SQQQ"": 58.54255984585941, ""TQQQ"": 41.45744015414059}"
2007-01-31,"{""SQQQ"": 48.70786285996074, ""TQQQ"": 51.29213714003926}"
2007-02-01,"{""SQQQ"": 49.72144719597772, ""TQQQ"": 50.27855280402228}"
2007-02-02,"{""SQQQ"": 46.46078319442856, ""TQQQ"": 53.53921680557144}"
2007-02-05,"{""SQQQ"": 47.25048870051345, ""TQQQ"": 52.74951129948655}"
2007-02-06,"{""SQQQ"": 48.666106309499746, ""TQQQ"": 51.333893690500254}"
2007-02-07,"{""SQQQ"": 39.1767672845061, ""TQQQ"": 60.8232327154939}"
2007-02-08,"{""SQQQ"": 39.312851535906425, ""TQQQ"": 60.687148464093575}"
2007-02-09,"{""SQQQ"": 53.102170605677024, ""TQQQ"": 46.897829394322976}"
2007-02-12,"{""SQQQ"": 56.268503965788064, ""TQQQ"": 43.731496034211936}"
2007-02-13,"{""SQQQ"": 52.52225248112893, ""TQQQ"": 47.47774751887107}"
2007-02-14,"{""SQQQ"": 36.10375134759801, ""TQQQ"": 63.89624865240199}"
2007-02-15,"{""SQQQ"": 30.719272053217182, ""TQQQ"": 69.28072794678282}"
2007-02-16,"{""SQQQ"": 34.352176453403594, ""TQQQ"": 65.64782354659641}"
2007-02-20,"{""SQQQ"": 26.88639423186625, ""TQQQ"": 73.11360576813375}"
2007-02-21,"{""SQQQ"": 24.127392486361256, ""TQQQ"": 75.87260751363874}"
2007-02-22,"{""SQQQ"": 19.685367754638694, ""TQQQ"": 80.31463224536131}"
2007-02-23,"{""SQQQ"": 23.963030783386795, ""TQQQ"": 76.0369692166132}"
2007-02-26,"{""SQQQ"": 29.42922707073641, ""TQQQ"": 70.5707729292636}"
2007-02-27,"{""SQQQ"": 71.04558434401626, ""TQQQ"": 28.95441565598374}"
2007-02-28,"{""SQQQ"": 67.61147251225412, ""TQQQ"": 32.38852748774587}"
2007-03-01,"{""SQQQ"": 71.6187389752637, ""TQQQ"": 28.381261024736297}"
2007-03-02,"{""SQQQ"": 85.57954187747197, ""TQQQ"": 14.420458122528032}"
2007-03-05,"{""SQQQ"": 92.30303860466181, ""TQQQ"": 7.696961395338188}"
2007-03-06,"{""SQQQ"": 75.87762373523977, ""TQQQ"": 24.122376264760238}"
2007-03-07,"{""SQQQ"": 79.31256683758812, ""TQQQ"": 20.68743316241187}"
2007-03-08,"{""SQQQ"": 72.50277685089111, ""TQQQ"": 27.49722314910889}"
2007-03-09,"{""SQQQ"": 72.29657460987835, ""TQQQ"": 27.70342539012165}"
2007-03-12,"{""SQQQ"": 67.08503208585492, ""TQQQ"": 32.91496791414507}"
2007-03-13,"{""SQQQ"": 85.85865052219536, ""TQQQ"": 14.141349477804626}"
2007-03-14,"{""SQQQ"": 71.62530467031614, ""TQQQ"": 28.37469532968387}"
2007-03-15,"{""SQQQ"": 73.79122989956655, ""TQQQ"": 26.208770100433448}"
2007-03-16,"{""SQQQ"": 74.98044471687149, ""TQQQ"": 25.01955528312852}"
2007-03-19,"{""SQQQ"": 64.5653059263361, ""TQQQ"": 35.434694073663906}"
2007-03-20,"{""SQQQ"": 57.34991258821278, ""TQQQ"": 42.65008741178722}"
2007-03-21,"{""SQQQ"": 38.602619887535994, ""TQQQ"": 61.397380112464006}"
2007-03-22,"{""SQQQ"": 42.33672652407655, ""TQQQ"": 57.66327347592345}"
2007-03-23,"{""SQQQ"": 45.30946116005038, ""TQQQ"": 54.69053883994962}"
2007-03-26,"{""SQQQ"": 40.83072781956254, ""TQQQ"": 59.16927218043746}"
2007-03-27,"{""SQQQ"": 47.0959526557833, ""TQQQ"": 52.9040473442167}"
2007-03-28,"{""SQQQ"": 57.06423826790944, ""TQQQ"": 42.93576173209056}"
2007-03-29,"{""SQQQ"": 55.311731679571395, ""TQQQ"": 44.688268320428605}"
2007-03-30,"{""SQQQ"": 55.98291382585323, ""TQQQ"": 44.01708617414676}"
2007-04-02,"{""SQQQ"": 54.346090125150695, ""TQQQ"": 45.653909874849305}"
2007-04-03,"{""SQQQ"": 41.70884130254233, ""TQQQ"": 58.29115869745767}"
2007-04-04,"{""SQQQ"": 37.92760230806641, ""TQQQ"": 62.07239769193359}"
2007-04-05,"{""SQQQ"": 33.00343050026602, ""TQQQ"": 66.99656949973398}"
2007-04-09,"{""SQQQ"": 35.85608509272604, ""TQQQ"": 64.14391490727395}"
2007-04-10,"{""SQQQ"": 31.09749112154897, ""TQQQ"": 68.90250887845103}"
2007-04-11,"{""SQQQ"": 42.13868171739578, ""TQQQ"": 57.86131828260422}"
2007-04-12,"{""SQQQ"": 34.54958420339237, ""TQQQ"": 65.45041579660763}"
2007-04-13,"{""SQQQ"": 32.759094280194645, ""TQQQ"": 67.24090571980535}"
2007-04-16,"{""SQQQ"": 23.862669192543116, ""TQQQ"": 76.13733080745688}"
2007-04-17,"{""SQQQ"": 22.04511567065177, ""TQQQ"": 77.95488432934823}"
2007-04-18,"{""SQQQ"": 25.89232239275442, ""TQQQ"": 74.10767760724558}"
2007-04-19,"{""SQQQ"": 23.208369699822175, ""TQQQ"": 76.79163030017783}"
2007-04-20,"{""SQQQ"": 17.939670489789084, ""TQQQ"": 82.06032951021092}"
2007-04-23,"{""SQQQ"": 16.82235096994512, ""TQQQ"": 83.17764903005488}"
2007-04-24,"{""SQQQ"": 12.448339096242266, ""TQQQ"": 87.55166090375774}"
2007-04-25,"{""SQQQ"": 0.0038728431680512543, ""TQQQ"": 99.99612715683195}"
2007-04-26,"{""cash"": 100.0}"
2007-04-27,"{""cash"": 100.0}"
2007-04-30,"{""SQQQ"": 10.463531015678207, ""TQQQ"": 89.5364689843218}"
2007-05-01,"{""SQQQ"": 8.830074709902991, ""TQQQ"": 91.16992529009701}"
2007-05-02,"{""SQQQ"": 1.5298133178405449, ""TQQQ"": 98.47018668215945}"
2007-05-03,"{""cash"": 100.0}"
2007-05-04,"{""cash"": 100.0}"
2007-05-07,"{""cash"": 100.0}"
2007-05-08,"{""cash"": 100.0}"
2007-05-09,"{""cash"": 100.0}"
2007-05-10,"{""SQQQ"": 12.443009976075615, ""TQQQ"": 87.55699002392439}"
2007-05-11,"{""SQQQ"": 0.8456778717669478, ""TQQQ"": 99.15432212823305}"
2007-05-14,"{""SQQQ"": 9.912546279843005, ""TQQQ"": 90.087453720157}"
2007-05-15,"{""SQQQ"": 19.611510532909993, ""TQQQ"": 80.38848946709001}"
2007-05-16,"{""SQQQ"": 11.448278644794085, ""TQQQ"": 88.55172135520591}"
2007-05-17,"{""SQQQ"": 18.05929798490713, ""TQQQ"": 81.94070201509287}"
2007-05-18,"{""SQQQ"": 11.284441385966682, ""TQQQ"": 88.71555861403331}"
2007-05-21,"{""SQQQ"": 6.451533764223527, ""TQQQ"": 93.54846623577647}"
2007-05-22,"{""SQQQ"": 7.336052616345013, ""TQQQ"": 92.66394738365499}"
2007-05-23,"{""SQQQ"": 14.282063702986092, ""TQQQ"": 85.7179362970139}"
2007-05-24,"{""SQQQ"": 30.59717389760702, ""TQQQ"": 69.40282610239298}"
2007-05-25,"{""SQQQ"": 25.77121790838448, ""TQQQ"": 74.22878209161551}"
2007-05-29,"{""SQQQ"": 19.60341121205952, ""TQQQ"": 80.39658878794049}"
2007-05-30,"{""SQQQ"": 12.988148435982104, ""TQQQ"": 87.01185156401789}"
2007-05-31,"{""SQQQ"": 9.880801766814052, ""TQQQ"": 90.11919823318595}"
2007-06-01,"{""SQQQ"": 10.598723310587744, ""TQQQ"": 89.40127668941226}"
2007-06-04,"{""SQQQ"": 9.033941296196224, ""TQQQ"": 90.96605870380378}"
2007-06-05,"{""SQQQ"": 10.610290309271232, ""TQQQ"": 89.38970969072876}"
2007-06-06,"{""SQQQ"": 23.047145575225013, ""TQQQ"": 76.95285442477498}"
2007-06-07,"{""SQQQ"": 40.08036437690245, ""TQQQ"": 59.91963562309755}"
2007-06-08,"{""SQQQ"": 29.105443604813786, ""TQQQ"": 70.89455639518621}"
2007-06-11,"{""SQQQ"": 32.510535164523205, ""TQQQ"": 67.4894648354768}"
2007-06-12,"{""SQQQ"": 39.94304255671762, ""TQQQ"": 60.05695744328238}"
2007-06-13,"{""SQQQ"": 30.35168395474632, ""TQQQ"": 69.64831604525368}"
2007-06-14,"{""SQQQ"": 25.025765686628176, ""TQQQ"": 74.97423431337182}"
2007-06-15,"{""SQQQ"": 18.4969278534054, ""TQQQ"": 81.5030721465946}"
2007-06-18,"{""SQQQ"": 19.060989094378243, ""TQQQ"": 80.93901090562176}"
2007-06-19,"{""SQQQ"": 20.75061161748487, ""TQQQ"": 79.24938838251514}"
2007-06-20,"{""SQQQ"": 31.64847950105292, ""TQQQ"": 68.35152049894708}"
2007-06-21,"{""SQQQ"": 23.911616477873622, ""TQQQ"": 76.08838352212638}"
2007-06-22,"{""SQQQ"": 34.82083931829649, ""TQQQ"": 65.17916068170351}"
2007-06-25,"{""SQQQ"": 40.1927833363495, ""TQQQ"": 59.8072166636505}"
2007-06-26,"{""SQQQ"": 46.76640157761701, ""TQQQ"": 53.23359842238299}"
2007-06-27,"{""SQQQ"": 32.30431079720927, ""TQQQ"": 67.69568920279073}"
2007-06-28,"{""SQQQ"": 33.82716898116335, ""TQQQ"": 66.17283101883665}"
2007-06-29,"{""SQQQ"": 33.17452141814735, ""TQQQ"": 66.82547858185265}"
2007-07-02,"{""SQQQ"": 25.51877894014758, ""TQQQ"": 74.48122105985242}"
2007-07-03,"{""SQQQ"": 20.54667226214252, ""TQQQ"": 79.45332773785748}"
2007-07-05,"{""SQQQ"": 14.356588086358446, ""TQQQ"": 85.64341191364156}"
2007-07-06,"{""SQQQ"": 11.208185585508701, ""TQQQ"": 88.7918144144913}"
2007-07-09,"{""SQQQ"": 11.601003828376111, ""TQQQ"": 88.39899617162389}"
2007-07-10,"{""SQQQ"": 21.184640906125008, ""TQQQ"": 78.81535909387499}"
2007-07-11,"{""SQQQ"": 15.396803761883648, ""TQQQ"": 84.60319623811635}"
2007-07-12,"{""SQQQ"": 0.9790578588319554, ""TQQQ"": 99.02094214116805}"
2007-07-13,"{""cash"": 100.0}"
2007-07-16,"{""cash"": 100.0}"
2007-07-17,"{""cash"": 100.0}"
2007-07-18,"{""cash"": 100.0}"
2007-07-19,"{""cash"": 100.0}"
2007-07-20,"{""cash"": 100.0}"
2007-07-23,"{""SQQQ"": 1.0636685832622783, ""TQQQ"": 98.93633141673772}"
2007-07-24,"{""SQQQ"": 17.741392939435276, ""TQQQ"": 82.25860706056473}"
2007-07-25,"{""SQQQ"": 17.541711986762877, ""TQQQ"": 82.45828801323712}"
2007-07-26,"{""SQQQ"": 27.588745296908158, ""TQQQ"": 72.41125470309184}"
2007-07-27,"{""SQQQ"": 48.74659925969718, ""TQQQ"": 51.25340074030282}"
2007-07-30,"{""SQQQ"": 38.15606520027467, ""TQQQ"": 61.84393479972533}"
2007-07-31,"{""SQQQ"": 59.646059936195314, ""TQQQ"": 40.353940063804686}"
2007-08-01,"{""SQQQ"": 52.27250850621283, ""TQQQ"": 47.72749149378717}"
2007-08-02,"{""SQQQ"": 43.81355329588281, ""TQQQ"": 56.18644670411719}"
2007-08-03,"{""SQQQ"": 63.089114707481244, ""TQQQ"": 36.91088529251876}"
2007-08-06,"{""SQQQ"": 52.34422989331876, ""TQQQ"": 47.65577010668124}"
2007-08-07,"{""SQQQ"": 46.22540668737687, ""TQQQ"": 53.77459331262313}"
2007-08-08,"{""SQQQ"": 36.01573646838937, ""TQQQ"": 63.98426353161063}"
2007-08-09,"{""SQQQ"": 59.59332638164756, ""TQQQ"": 40.406673618352436}"
2007-08-10,"{""SQQQ"": 68.50778144383204, ""TQQQ"": 31.492218556167963}"
2007-08-13,"{""SQQQ"": 61.89974682277174, ""TQQQ"": 38.10025317722826}"
2007-08-14,"{""SQQQ"": 78.47200781060945, ""TQQQ"": 21.52799218939054}"
2007-08-15,"{""SQQQ"": 96.1656653041457, ""TQQQ"": 3.8343346958543063}"
2007-08-16,"{""SQQQ"": 100.0}"
2007-08-17,"{""SQQQ"": 87.15588089060478, ""TQQQ"": 12.844119109395221}"
2007-08-20,"{""SQQQ"": 82.40634336934042, ""TQQQ"": 17.593656630659584}"
2007-08-21,"{""SQQQ"": 72.25007834534638, ""TQQQ"": 27.749921654653615}"
2007-08-22,"{""SQQQ"": 59.3427498673973, ""TQQQ"": 40.6572501326027}"
2007-08-23,"{""SQQQ"": 62.25546485166078, ""TQQQ"": 37.744535148339224}"
2007-08-24,"{""SQQQ"": 48.61835212402282, ""TQQQ"": 51.38164787597718}"
2007-08-27,"{""SQQQ"": 55.35928943502082, ""TQQQ"": 44.64071056497919}"
2007-08-28,"{""SQQQ"": 78.73296837744951, ""TQQQ"": 21.26703162255049}"
2007-08-29,"{""SQQQ"": 50.88930454714343, ""TQQQ"": 49.11069545285657}"
2007-08-30,"{""SQQQ"": 46.302386338027155, ""TQQQ"": 53.697613661972845}"
2007-08-31,"{""SQQQ"": 35.50845548668076, ""TQQQ"": 64.49154451331924}"
2007-09-04,"{""SQQQ"": 19.63711223350153, ""TQQQ"": 80.36288776649847}"
2007-09-05,"{""SQQQ"": 30.93866062655103, ""TQQQ"": 69.06133937344897}"
2007-09-06,"{""SQQQ"": 32.749799295350044, ""TQQQ"": 67.25020070464996}"
2007-09-07,"{""SQQQ"": 51.754882065271836, ""TQQQ"": 48.24511793472817}"
2007-09-10,"{""SQQQ"": 52.66068013636001, ""TQQQ"": 47.33931986363999}"
2007-09-11,"{""SQQQ"": 38.24956787661223, ""TQQQ"": 61.75043212338777}"
2007-09-12,"{""SQQQ"": 38.42850260005645, ""TQQQ"": 61.57149739994355}"
2007-09-13,"{""SQQQ"": 33.811568147941905, ""TQQQ"": 66.18843185205809}"
2007-09-14,"{""SQQQ"": 33.21759019040545, ""TQQQ"": 66.78240980959454}"
2007-09-17,"{""SQQQ"": 41.70617097408906, ""TQQQ"": 58.29382902591094}"
2007-09-18,"{""SQQQ"": 16.670400843094058, ""TQQQ"": 83.32959915690594}"
2007-09-19,"{""SQQQ"": 14.699443582960948, ""TQQQ"": 85.30055641703905}"
2007-09-20,"{""SQQQ"": 18.1237256949627, ""TQQQ"": 81.8762743050373}"
2007-09-21,"{""SQQQ"": 11.630238454272735, ""TQQQ"": 88.36976154572727}"
2007-09-24,"{""SQQQ"": 7.366973692929458, ""TQQQ"": 92.63302630707054}"
2007-09-25,"{""cash"": 100.0}"
2007-09-26,"{""cash"": 100.0}"
2007-09-27,"{""cash"": 100.0}"
2007-09-28,"{""cash"": 100.0}"
2007-10-01,"{""cash"": 100.0}"
2007-10-02,"{""cash"": 100.0}"
2007-10-03,"{""cash"": 100.0}"
2007-10-04,"{""cash"": 100.0}"
2007-10-05,"{""cash"": 100.0}"
2007-10-08,"{""cash"": 100.0}"
2007-10-09,"{""cash"": 100.0}"
2007-10-10,"{""cash"": 100.0}"
2007-10-11,"{""cash"": 100.0}"
2007-10-12,"{""cash"": 100.0}"
2007-10-15,"{""cash"": 100.0}"
2007-10-16,"{""cash"": 100.0}"
2007-10-17,"{""cash"": 100.0}"
2007-10-18,"{""cash"": 100.0}"
2007-10-19,"{""cash"": 100.0}"
2007-10-22,"{""cash"": 100.0}"
2007-10-23,"{""cash"": 100.0}"
2007-10-24,"{""cash"": 100.0}"
2007-10-25,"{""cash"": 100.0}"
2007-10-26,"{""cash"": 100.0}"
2007-10-29,"{""cash"": 100.0}"
2007-10-30,"{""cash"": 100.0}"
2007-10-31,"{""cash"": 100.0}"
2007-11-01,"{""cash"": 100.0}"
2007-11-02,"{""cash"": 100.0}"
2007-11-05,"{""cash"": 100.0}"
2007-11-06,"{""cash"": 100.0}"
2007-11-07,"{""SQQQ"": 18.343092950150098, ""TQQQ"": 81.6569070498499}"
2007-11-08,"{""SQQQ"": 51.032143910351, ""TQQQ"": 48.967856089649}"
2007-11-09,"{""SQQQ"": 85.02751247658814, ""TQQQ"": 14.972487523411862}"
2007-11-12,"{""SQQQ"": 100.0}"
2007-11-13,"{""SQQQ"": 71.21919263181573, ""TQQQ"": 28.78080736818427}"
2007-11-14,"{""SQQQ"": 83.96431131691628, ""TQQQ"": 16.03568868308372}"
2007-11-15,"{""SQQQ"": 89.44865631283085, ""TQQQ"": 10.551343687169153}"
2007-11-16,"{""SQQQ"": 81.30407181317433, ""TQQQ"": 18.69592818682567}"
2007-11-19,"{""SQQQ"": 93.08163691650606, ""TQQQ"": 6.918363083493952}"
2007-11-20,"{""SQQQ"": 89.57336715870723, ""TQQQ"": 10.426632841292777}"
2007-11-21,"{""SQQQ"": 100.0}"
2007-11-23,"{""SQQQ"": 91.11548363653236, ""TQQQ"": 8.884516363467647}"
2007-11-26,"{""SQQQ"": 100.0}"
2007-11-27,"{""SQQQ"": 89.13408069496138, ""TQQQ"": 10.865919305038615}"
2007-11-28,"{""SQQQ"": 60.50517534373545, ""TQQQ"": 39.49482465626454}"
2007-11-29,"{""SQQQ"": 56.83979743083001, ""TQQQ"": 43.160202569169996}"
2007-11-30,"{""SQQQ"": 64.84959432713853, ""TQQQ"": 35.15040567286146}"
2007-12-03,"{""SQQQ"": 73.33654773384765, ""TQQQ"": 26.663452266152348}"
2007-12-04,"{""SQQQ"": 77.41670459542242, ""TQQQ"": 22.583295404577587}"
2007-12-05,"{""SQQQ"": 60.25035864686006, ""TQQQ"": 39.74964135313995}"
2007-12-06,"{""SQQQ"": 46.175908221797336, ""TQQQ"": 53.824091778202664}"
2007-12-07,"{""SQQQ"": 46.27335894837048, ""TQQQ"": 53.72664105162952}"
2007-12-10,"{""SQQQ"": 42.66552643338123, ""TQQQ"": 57.33447356661877}"
2007-12-11,"{""SQQQ"": 65.90579821830389, ""TQQQ"": 34.094201781696114}"
2007-12-12,"{""SQQQ"": 56.95554998940284, ""TQQQ"": 43.04445001059716}"
2007-12-13,"{""SQQQ"": 62.29334463755838, ""TQQQ"": 37.706655362441616}"
2007-12-14,"{""SQQQ"": 72.204232681855, ""TQQQ"": 27.795767318145}"
2007-12-17,"{""SQQQ"": 94.78141897237788, ""TQQQ"": 5.218581027622113}"
2007-12-18,"{""SQQQ"": 90.49401226529208, ""TQQQ"": 9.50598773470792}"
2007-12-19,"{""SQQQ"": 89.39542856700629, ""TQQQ"": 10.604571432993703}"
2007-12-20,"{""SQQQ"": 68.86733986388873, ""TQQQ"": 31.132660136111273}"
2007-12-21,"{""SQQQ"": 50.15885869712611, ""TQQQ"": 49.841141302873886}"
2007-12-24,"{""SQQQ"": 42.103518721677226, ""TQQQ"": 57.896481278322774}"
2007-12-26,"{""SQQQ"": 36.82445269908724, ""TQQQ"": 63.17554730091276}"
2007-12-27,"{""SQQQ"": 47.51366321579141, ""TQQQ"": 52.48633678420859}"
2007-12-28,"{""SQQQ"": 48.21845125581735, ""TQQQ"": 51.78154874418265}"
2007-12-31,"{""SQQQ"": 59.658644992346254, ""TQQQ"": 40.341355007653746}"
2008-01-02,"{""SQQQ"": 73.6713999097937, ""TQQQ"": 26.328600090206304}"
2008-01-03,"{""SQQQ"": 69.63073665857154, ""TQQQ"": 30.369263341428464}"
2008-01-04,"{""SQQQ"": 100.0}"
2008-01-07,"{""SQQQ"": 100.0}"
2008-01-08,"{""SQQQ"": 100.0}"
2008-01-09,"{""SQQQ"": 100.0}"
2008-01-10,"{""SQQQ"": 100.0}"
2008-01-11,"{""SQQQ"": 100.0}"
2008-01-14,"{""SQQQ"": 100.0}"
2008-01-15,"{""SQQQ"": 100.0}"
2008-01-16,"{""SQQQ"": 100.0}"
2008-01-17,"{""SQQQ"": 100.0}"
2008-01-18,"{""SQQQ"": 100.0}"
2008-01-22,"{""SQQQ"": 100.0}"
2008-01-23,"{""SQQQ"": 100.0}"
2008-01-24,"{""SQQQ"": 100.0}"
2008-01-25,"{""SQQQ"": 100.0}"
2008-01-28,"{""SQQQ"": 100.0}"
2008-01-29,"{""SQQQ"": 100.0}"
2008-01-30,"{""SQQQ"": 100.0}"
2008-01-31,"{""SQQQ"": 100.0}"
2008-02-01,"{""SQQQ"": 100.0}"
2008-02-04,"{""SQQQ"": 100.0}"
2008-02-05,"{""SQQQ"": 100.0}"
2008-02-06,"{""SQQQ"": 100.0}"
2008-02-07,"{""SQQQ"": 100.0}"
2008-02-08,"{""SQQQ"": 100.0}"
2008-02-11,"{""SQQQ"": 100.0}"
2008-02-12,"{""SQQQ"": 100.0}"
2008-02-13,"{""SQQQ"": 100.0}"
2008-02-14,"{""SQQQ"": 100.0}"
2008-02-15,"{""SQQQ"": 100.0}"
2008-02-19,"{""SQQQ"": 100.0}"
2008-02-20,"{""SQQQ"": 100.0}"
2008-02-21,"{""SQQQ"": 100.0}"
2008-02-22,"{""SQQQ"": 100.0}"
2008-02-25,"{""SQQQ"": 100.0}"
2008-02-26,"{""SQQQ"": 100.0}"
2008-02-27,"{""SQQQ"": 99.0080169832325, ""TQQQ"": 0.9919830167675059}"
2008-02-28,"{""SQQQ"": 99.87969326109157, ""TQQQ"": 0.12030673890842808}"
2008-02-29,"{""SQQQ"": 100.0}"
2008-03-03,"{""SQQQ"": 100.0}"
2008-03-04,"{""SQQQ"": 100.0}"
2008-03-05,"{""SQQQ"": 100.0}"
2008-03-06,"{""SQQQ"": 100.0}"
2008-03-07,"{""SQQQ"": 100.0}"
2008-03-10,"{""SQQQ"": 100.0}"
2008-03-11,"{""SQQQ"": 99.33723440315421, ""TQQQ"": 0.6627655968457977}"
2008-03-12,"{""SQQQ"": 98.14577632881173, ""TQQQ"": 1.8542236711882598}"
2008-03-13,"{""SQQQ"": 87.24712005645263, ""TQQQ"": 12.752879943547365}"
2008-03-14,"{""SQQQ"": 100.0}"
2008-03-17,"{""SQQQ"": 100.0}"
2008-03-18,"{""SQQQ"": 70.91647484529416, ""TQQQ"": 29.083525154705836}"
2008-03-19,"{""SQQQ"": 92.64617513702488, ""TQQQ"": 7.353824862975124}"
2008-03-20,"{""SQQQ"": 72.05785112660573, ""TQQQ"": 27.94214887339428}"
2008-03-24,"{""SQQQ"": 36.77347753409392, ""TQQQ"": 63.22652246590608}"
2008-03-25,"{""SQQQ"": 29.596503825941333, ""TQQQ"": 70.40349617405866}"
2008-03-26,"{""SQQQ"": 31.479361736224053, ""TQQQ"": 68.52063826377595}"
2008-03-27,"{""SQQQ"": 52.02301929896189, ""TQQQ"": 47.9769807010381}"
2008-03-28,"{""SQQQ"": 55.682470703349274, ""TQQQ"": 44.317529296650726}"
2008-03-31,"{""SQQQ"": 49.333195373755245, ""TQQQ"": 50.666804626244755}"
2008-04-01,"{""SQQQ"": 6.652090144523582, ""TQQQ"": 93.34790985547642}"
2008-04-02,"{""SQQQ"": 9.018240170676982, ""TQQQ"": 90.98175982932301}"
2008-04-03,"{""SQQQ"": 7.395188119175722, ""TQQQ"": 92.60481188082427}"
2008-04-04,"{""SQQQ"": 2.077938772886667, ""TQQQ"": 97.92206122711333}"
2008-04-07,"{""SQQQ"": 4.7813875363132645, ""TQQQ"": 95.21861246368674}"
2008-04-08,"{""SQQQ"": 13.48342949394149, ""TQQQ"": 86.51657050605851}"
2008-04-09,"{""SQQQ"": 25.446479745065275, ""TQQQ"": 74.55352025493472}"
2008-04-10,"{""SQQQ"": 11.31214254289481, ""TQQQ"": 88.6878574571052}"
2008-04-11,"{""SQQQ"": 40.14202631542785, ""TQQQ"": 59.85797368457215}"
2008-04-14,"{""SQQQ"": 44.24101534200855, ""TQQQ"": 55.75898465799145}"
2008-04-15,"{""SQQQ"": 42.19542186474827, ""TQQQ"": 57.80457813525173}"
2008-04-16,"{""SQQQ"": 14.177420168722609, ""TQQQ"": 85.8225798312774}"
2008-04-17,"{""SQQQ"": 17.22438688975476, ""TQQQ"": 82.77561311024525}"
2008-04-18,"{""cash"": 100.0}"
2008-04-21,"{""cash"": 100.0}"
2008-04-22,"{""cash"": 100.0}"
2008-04-23,"{""cash"": 100.0}"
2008-04-24,"{""cash"": 100.0}"
2008-04-25,"{""cash"": 100.0}"
2008-04-28,"{""cash"": 100.0}"
2008-04-29,"{""cash"": 100.0}"
2008-04-30,"{""cash"": 100.0}"
2008-05-01,"{""cash"": 100.0}"
2008-05-02,"{""cash"": 100.0}"
2008-05-05,"{""cash"": 100.0}"
2008-05-06,"{""cash"": 100.0}"
2008-05-07,"{""cash"": 100.0}"
2008-05-08,"{""cash"": 100.0}"
2008-05-09,"{""cash"": 100.0}"
2008-05-12,"{""cash"": 100.0}"
2008-05-13,"{""cash"": 100.0}"
2008-05-14,"{""cash"": 100.0}"
2008-05-15,"{""cash"": 100.0}"
2008-05-16,"{""cash"": 100.0}"
2008-05-19,"{""cash"": 100.0}"
2008-05-20,"{""cash"": 100.0}"
2008-05-21,"{""SQQQ"": 6.170477645594108, ""TQQQ"": 93.8295223544059}"
2008-05-22,"{""SQQQ"": 5.2394351518941455, ""TQQQ"": 94.76056484810586}"
2008-05-23,"{""SQQQ"": 10.59894456816557, ""TQQQ"": 89.40105543183444}"
2008-05-27,"{""cash"": 100.0}"
2008-05-28,"{""cash"": 100.0}"
2008-05-29,"{""cash"": 100.0}"
2008-05-30,"{""cash"": 100.0}"
2008-06-02,"{""SQQQ"": 0.6683967015519432, ""TQQQ"": 99.33160329844806}"
2008-06-03,"{""SQQQ"": 8.44426931351039, ""TQQQ"": 91.55573068648961}"
2008-06-04,"{""cash"": 100.0}"
2008-06-05,"{""cash"": 100.0}"
2008-06-06,"{""SQQQ"": 17.619643998020017, ""TQQQ"": 82.38035600197998}"
2008-06-09,"{""SQQQ"": 25.39599446114378, ""TQQQ"": 74.60400553885623}"
2008-06-10,"{""SQQQ"": 32.30890116325619, ""TQQQ"": 67.69109883674382}"
2008-06-11,"{""SQQQ"": 57.6917571476085, ""TQQQ"": 42.3082428523915}"
2008-06-12,"{""SQQQ"": 57.231226784565, ""TQQQ"": 42.768773215435}"
2008-06-13,"{""SQQQ"": 38.63421500451697, ""TQQQ"": 61.36578499548303}"
2008-06-16,"{""SQQQ"": 30.850822747359473, ""TQQQ"": 69.14917725264053}"
2008-06-17,"{""SQQQ"": 37.4791983668884, ""TQQQ"": 62.5208016331116}"
2008-06-18,"{""SQQQ"": 49.25886535216466, ""TQQQ"": 50.74113464783534}"
2008-06-19,"{""SQQQ"": 35.40182602588543, ""TQQQ"": 64.59817397411457}"
2008-06-20,"{""SQQQ"": 64.18158273982336, ""TQQQ"": 35.81841726017665}"
2008-06-23,"{""SQQQ"": 73.03574483354276, ""TQQQ"": 26.964255166457235}"
2008-06-24,"{""SQQQ"": 79.14442180017758, ""TQQQ"": 20.855578199822425}"
2008-06-25,"{""SQQQ"": 64.71169652704067, ""TQQQ"": 35.288303472959335}"
