Date,Allocation
1999-08-27,"{""SQQQ"": 10.691105538679302, ""TQQQ"": 89.3088944613207}"
1999-08-30,"{""SQQQ"": 26.748721806606202, ""TQQQ"": 73.2512781933938}"
1999-08-31,"{""SQQQ"": 16.49502470252614, ""TQQQ"": 83.50497529747386}"
1999-09-01,"{""SQQQ"": 10.858542006737537, ""TQQQ"": 89.14145799326246}"
1999-09-02,"{""SQQQ"": 15.948975486591731, ""TQQQ"": 84.05102451340827}"
1999-09-03,"{""cash"": 100.0}"
1999-09-07,"{""cash"": 100.0}"
1999-09-08,"{""cash"": 100.0}"
1999-09-09,"{""cash"": 100.0}"
1999-09-10,"{""cash"": 100.0}"
1999-09-13,"{""cash"": 100.0}"
1999-09-14,"{""cash"": 100.0}"
1999-09-15,"{""SQQQ"": 4.329428084309638, ""TQQQ"": 95.67057191569036}"
1999-09-16,"{""SQQQ"": 5.904990426000256, ""TQQQ"": 94.09500957399975}"
1999-09-17,"{""cash"": 100.0}"
1999-09-20,"{""cash"": 100.0}"
1999-09-21,"{""SQQQ"": 1.480682753600604, ""TQQQ"": 98.5193172463994}"
1999-09-22,"{""cash"": 100.0}"
1999-09-23,"{""SQQQ"": 35.364925431457706, ""TQQQ"": 64.6350745685423}"
1999-09-24,"{""SQQQ"": 33.75365372850266, ""TQQQ"": 66.24634627149733}"
1999-09-27,"{""SQQQ"": 26.31343643861791, ""TQQQ"": 73.68656356138209}"
1999-09-28,"{""SQQQ"": 21.5641743955178, ""TQQQ"": 78.4358256044822}"
1999-09-29,"{""SQQQ"": 42.530212199067485, ""TQQQ"": 57.469787800932515}"
1999-09-30,"{""SQQQ"": 32.513705749281684, ""TQQQ"": 67.48629425071832}"
1999-10-01,"{""SQQQ"": 33.21015805797036, ""TQQQ"": 66.78984194202964}"
1999-10-04,"{""SQQQ"": 11.809920407686047, ""TQQQ"": 88.19007959231395}"
1999-10-05,"{""SQQQ"": 6.681398124697724, ""TQQQ"": 93.31860187530228}"
1999-10-06,"{""cash"": 100.0}"
1999-10-07,"{""cash"": 100.0}"
1999-10-08,"{""cash"": 100.0}"
1999-10-11,"{""cash"": 100.0}"
1999-10-12,"{""cash"": 100.0}"
1999-10-13,"{""SQQQ"": 31.264480633508953, ""TQQQ"": 68.73551936649105}"
1999-10-14,"{""SQQQ"": 27.178471613829423, ""TQQQ"": 72.82152838617057}"
1999-10-15,"{""SQQQ"": 58.622983978282846, ""TQQQ"": 41.377016021717154}"
1999-10-18,"{""SQQQ"": 72.49068840976977, ""TQQQ"": 27.50931159023023}"
1999-10-19,"{""SQQQ"": 68.73948827164787, ""TQQQ"": 31.260511728352125}"
1999-10-20,"{""SQQQ"": 41.25623018420818, ""TQQQ"": 58.74376981579182}"
1999-10-21,"{""SQQQ"": 26.845261882036663, ""TQQQ"": 73.15473811796333}"
1999-10-22,"{""SQQQ"": 33.714385516282356, ""TQQQ"": 66.28561448371765}"
1999-10-25,"{""SQQQ"": 34.66550396525043, ""TQQQ"": 65.33449603474956}"
1999-10-26,"{""SQQQ"": 44.00445721272996, ""TQQQ"": 55.99554278727004}"
1999-10-27,"{""SQQQ"": 46.46991215827935, ""TQQQ"": 53.53008784172065}"
1999-10-28,"{""SQQQ"": 13.621882589699707, ""TQQQ"": 86.37811741030029}"
1999-10-29,"{""cash"": 100.0}"
1999-11-01,"{""cash"": 100.0}"
1999-11-02,"{""cash"": 100.0}"
1999-11-03,"{""cash"": 100.0}"
1999-11-04,"{""cash"": 100.0}"
1999-11-05,"{""cash"": 100.0}"
1999-11-08,"{""cash"": 100.0}"
1999-11-09,"{""cash"": 100.0}"
1999-11-10,"{""cash"": 100.0}"
1999-11-11,"{""cash"": 100.0}"
1999-11-12,"{""cash"": 100.0}"
1999-11-15,"{""cash"": 100.0}"
1999-11-16,"{""cash"": 100.0}"
1999-11-17,"{""cash"": 100.0}"
1999-11-18,"{""cash"": 100.0}"
1999-11-19,"{""cash"": 100.0}"
1999-11-22,"{""cash"": 100.0}"
1999-11-23,"{""cash"": 100.0}"
1999-11-24,"{""cash"": 100.0}"
1999-11-26,"{""cash"": 100.0}"
1999-11-29,"{""cash"": 100.0}"
1999-11-30,"{""cash"": 100.0}"
1999-12-01,"{""cash"": 100.0}"
1999-12-02,"{""cash"": 100.0}"
1999-12-03,"{""cash"": 100.0}"
1999-12-06,"{""cash"": 100.0}"
1999-12-07,"{""cash"": 100.0}"
1999-12-08,"{""cash"": 100.0}"
1999-12-09,"{""cash"": 100.0}"
1999-12-10,"{""cash"": 100.0}"
1999-12-13,"{""cash"": 100.0}"
1999-12-14,"{""cash"": 100.0}"
1999-12-15,"{""cash"": 100.0}"
1999-12-16,"{""cash"": 100.0}"
1999-12-17,"{""cash"": 100.0}"
1999-12-20,"{""cash"": 100.0}"
1999-12-21,"{""cash"": 100.0}"
1999-12-22,"{""cash"": 100.0}"
1999-12-23,"{""cash"": 100.0}"
1999-12-27,"{""cash"": 100.0}"
1999-12-28,"{""cash"": 100.0}"
1999-12-29,"{""cash"": 100.0}"
1999-12-30,"{""cash"": 100.0}"
1999-12-31,"{""cash"": 100.0}"
2000-01-03,"{""cash"": 100.0}"
2000-01-04,"{""cash"": 100.0}"
2000-01-05,"{""cash"": 100.0}"
2000-01-06,"{""SQQQ"": 22.659230087218283, ""TQQQ"": 77.34076991278171}"
2000-01-07,"{""cash"": 100.0}"
2000-01-10,"{""cash"": 100.0}"
2000-01-11,"{""cash"": 100.0}"
2000-01-12,"{""cash"": 100.0}"
2000-01-13,"{""cash"": 100.0}"
2000-01-14,"{""cash"": 100.0}"
2000-01-18,"{""cash"": 100.0}"
2000-01-19,"{""cash"": 100.0}"
2000-01-20,"{""cash"": 100.0}"
2000-01-21,"{""cash"": 100.0}"
2000-01-24,"{""cash"": 100.0}"
2000-01-25,"{""cash"": 100.0}"
2000-01-26,"{""cash"": 100.0}"
2000-01-27,"{""cash"": 100.0}"
2000-01-28,"{""SQQQ"": 37.964342295050955, ""TQQQ"": 62.035657704949045}"
2000-01-31,"{""cash"": 100.0}"
2000-02-01,"{""cash"": 100.0}"
2000-02-02,"{""cash"": 100.0}"
2000-02-03,"{""cash"": 100.0}"
2000-02-04,"{""cash"": 100.0}"
2000-02-07,"{""cash"": 100.0}"
2000-02-08,"{""cash"": 100.0}"
2000-02-09,"{""cash"": 100.0}"
2000-02-10,"{""cash"": 100.0}"
2000-02-11,"{""cash"": 100.0}"
2000-02-14,"{""cash"": 100.0}"
2000-02-15,"{""cash"": 100.0}"
2000-02-16,"{""cash"": 100.0}"
2000-02-17,"{""cash"": 100.0}"
2000-02-18,"{""cash"": 100.0}"
2000-02-22,"{""cash"": 100.0}"
2000-02-23,"{""cash"": 100.0}"
2000-02-24,"{""cash"": 100.0}"
2000-02-25,"{""cash"": 100.0}"
2000-02-28,"{""cash"": 100.0}"
2000-02-29,"{""cash"": 100.0}"
2000-03-01,"{""cash"": 100.0}"
2000-03-02,"{""cash"": 100.0}"
2000-03-03,"{""cash"": 100.0}"
2000-03-06,"{""cash"": 100.0}"
2000-03-07,"{""cash"": 100.0}"
2000-03-08,"{""cash"": 100.0}"
2000-03-09,"{""cash"": 100.0}"
2000-03-10,"{""cash"": 100.0}"
2000-03-13,"{""cash"": 100.0}"
2000-03-14,"{""cash"": 100.0}"
2000-03-15,"{""SQQQ"": 6.875352716708094, ""TQQQ"": 93.1246472832919}"
2000-03-16,"{""cash"": 100.0}"
2000-03-17,"{""cash"": 100.0}"
2000-03-20,"{""cash"": 100.0}"
2000-03-21,"{""cash"": 100.0}"
2000-03-22,"{""cash"": 100.0}"
2000-03-23,"{""cash"": 100.0}"
2000-03-24,"{""cash"": 100.0}"
2000-03-27,"{""cash"": 100.0}"
2000-03-28,"{""cash"": 100.0}"
2000-03-29,"{""cash"": 100.0}"
2000-03-30,"{""SQQQ"": 15.215739189776256, ""TQQQ"": 84.78426081022374}"
2000-03-31,"{""cash"": 100.0}"
2000-04-03,"{""SQQQ"": 60.833907756352154, ""TQQQ"": 39.166092243647846}"
2000-04-04,"{""SQQQ"": 72.42468738979873, ""TQQQ"": 27.575312610201262}"
2000-04-05,"{""SQQQ"": 91.07796461437208, ""TQQQ"": 8.922035385627927}"
2000-04-06,"{""SQQQ"": 70.85552772259175, ""TQQQ"": 29.144472277408255}"
2000-04-07,"{""SQQQ"": 34.52629725736933, ""TQQQ"": 65.47370274263066}"
2000-04-10,"{""SQQQ"": 98.9913544668588, ""TQQQ"": 1.0086455331412072}"
2000-04-11,"{""SQQQ"": 100.0}"
2000-04-12,"{""SQQQ"": 100.0}"
2000-04-13,"{""SQQQ"": 100.0}"
2000-04-14,"{""SQQQ"": 100.0}"
2000-04-17,"{""SQQQ"": 100.0}"
2000-04-18,"{""SQQQ"": 100.0}"
2000-04-19,"{""SQQQ"": 100.0}"
2000-04-20,"{""SQQQ"": 100.0}"
2000-04-24,"{""SQQQ"": 100.0}"
2000-04-25,"{""SQQQ"": 100.0}"
2000-04-26,"{""SQQQ"": 100.0}"
2000-04-27,"{""SQQQ"": 100.0}"
2000-04-28,"{""SQQQ"": 100.0}"
2000-05-01,"{""SQQQ"": 100.0}"
2000-05-02,"{""SQQQ"": 100.0}"
2000-05-03,"{""SQQQ"": 100.0}"
2000-05-04,"{""SQQQ"": 100.0}"
2000-05-05,"{""SQQQ"": 100.0}"
2000-05-08,"{""SQQQ"": 100.0}"
2000-05-09,"{""SQQQ"": 100.0}"
2000-05-10,"{""SQQQ"": 100.0}"
2000-05-11,"{""SQQQ"": 100.0}"
2000-05-12,"{""SQQQ"": 100.0}"
2000-05-15,"{""SQQQ"": 100.0}"
2000-05-16,"{""SQQQ"": 100.0}"
2000-05-17,"{""SQQQ"": 100.0}"
2000-05-18,"{""SQQQ"": 100.0}"
2000-05-19,"{""SQQQ"": 100.0}"
2000-05-22,"{""SQQQ"": 100.0}"
2000-05-23,"{""SQQQ"": 100.0}"
2000-05-24,"{""SQQQ"": 100.0}"
2000-05-25,"{""SQQQ"": 100.0}"
2000-05-26,"{""SQQQ"": 100.0}"
2000-05-30,"{""SQQQ"": 100.0}"
2000-05-31,"{""SQQQ"": 100.0}"
2000-06-01,"{""SQQQ"": 100.0}"
2000-06-02,"{""SQQQ"": 38.3385912080229, ""TQQQ"": 61.6614087919771}"
2000-06-05,"{""SQQQ"": 30.965366784837688, ""TQQQ"": 69.03463321516232}"
2000-06-06,"{""SQQQ"": 53.63352320101118, ""TQQQ"": 46.36647679898883}"
2000-06-07,"{""SQQQ"": 21.57011741195194, ""TQQQ"": 78.42988258804806}"
2000-06-08,"{""SQQQ"": 21.457445464639424, ""TQQQ"": 78.54255453536058}"
2000-06-09,"{""SQQQ"": 12.306746173846605, ""TQQQ"": 87.6932538261534}"
2000-06-12,"{""SQQQ"": 41.764908105839496, ""TQQQ"": 58.235091894160504}"
2000-06-13,"{""cash"": 100.0}"
2000-06-14,"{""SQQQ"": 20.511959799446334, ""TQQQ"": 79.48804020055367}"
2000-06-15,"{""SQQQ"": 0.5164750130467688, ""TQQQ"": 99.48352498695323}"
2000-06-16,"{""cash"": 100.0}"
2000-06-19,"{""cash"": 100.0}"
2000-06-20,"{""cash"": 100.0}"
2000-06-21,"{""cash"": 100.0}"
2000-06-22,"{""cash"": 100.0}"
2000-06-23,"{""SQQQ"": 20.176156756671347, ""TQQQ"": 79.82384324332865}"
2000-06-26,"{""cash"": 100.0}"
2000-06-27,"{""SQQQ"": 9.018387221736713, ""TQQQ"": 90.98161277826328}"
2000-06-28,"{""cash"": 100.0}"
2000-06-29,"{""SQQQ"": 23.7918060859176, ""TQQQ"": 76.2081939140824}"
2000-06-30,"{""SQQQ"": 4.64743517690075, ""TQQQ"": 95.35256482309926}"
2000-07-03,"{""cash"": 100.0}"
2000-07-05,"{""SQQQ"": 28.940221957826473, ""TQQQ"": 71.05977804217353}"
2000-07-06,"{""SQQQ"": 2.6521766386360057, ""TQQQ"": 97.347823361364}"
2000-07-07,"{""cash"": 100.0}"
2000-07-10,"{""SQQQ"": 0.038631075462158826, ""TQQQ"": 99.96136892453784}"
2000-07-11,"{""cash"": 100.0}"
2000-07-12,"{""cash"": 100.0}"
2000-07-13,"{""cash"": 100.0}"
2000-07-14,"{""cash"": 100.0}"
2000-07-17,"{""cash"": 100.0}"
2000-07-18,"{""cash"": 100.0}"
2000-07-19,"{""cash"": 100.0}"
2000-07-20,"{""cash"": 100.0}"
2000-07-21,"{""cash"": 100.0}"
2000-07-24,"{""SQQQ"": 15.757110419865617, ""TQQQ"": 84.24288958013439}"
2000-07-25,"{""SQQQ"": 10.181384519032054, ""TQQQ"": 89.81861548096795}"
2000-07-26,"{""SQQQ"": 13.137907669380722, ""TQQQ"": 86.86209233061928}"
2000-07-27,"{""SQQQ"": 54.00142021011256, ""TQQQ"": 45.99857978988744}"
2000-07-28,"{""SQQQ"": 100.0}"
2000-07-31,"{""SQQQ"": 80.80899468480068, ""TQQQ"": 19.191005315199316}"
2000-08-01,"{""SQQQ"": 95.0139377519557, ""TQQQ"": 4.986062248044306}"
2000-08-02,"{""SQQQ"": 100.0}"
2000-08-03,"{""SQQQ"": 75.6774366722804, ""TQQQ"": 24.32256332771961}"
2000-08-04,"{""SQQQ"": 81.25134983370054, ""TQQQ"": 18.748650166299452}"
2000-08-07,"{""SQQQ"": 61.54666787236022, ""TQQQ"": 38.45333212763978}"
2000-08-08,"{""SQQQ"": 44.943069301620184, ""TQQQ"": 55.056930698379816}"
2000-08-09,"{""SQQQ"": 72.920653014697, ""TQQQ"": 27.079346985303005}"
2000-08-10,"{""SQQQ"": 93.67492436269978, ""TQQQ"": 6.325075637300212}"
2000-08-11,"{""SQQQ"": 81.06285904872264, ""TQQQ"": 18.937140951277353}"
2000-08-14,"{""SQQQ"": 60.300063934380745, ""TQQQ"": 39.69993606561926}"
2000-08-15,"{""SQQQ"": 60.12015004854761, ""TQQQ"": 39.87984995145239}"
2000-08-16,"{""SQQQ"": 50.74810302447359, ""TQQQ"": 49.251896975526414}"
2000-08-17,"{""SQQQ"": 31.957248613945023, ""TQQQ"": 68.04275138605497}"
2000-08-18,"{""SQQQ"": 37.62210253409476, ""TQQQ"": 62.37789746590524}"
2000-08-21,"{""SQQQ"": 35.33182189830261, ""TQQQ"": 64.66817810169739}"
2000-08-22,"{""SQQQ"": 36.35535783596555, ""TQQQ"": 63.64464216403445}"
2000-08-23,"{""SQQQ"": 20.442173825935495, ""TQQQ"": 79.5578261740645}"
2000-08-24,"{""SQQQ"": 5.987586788187748, ""TQQQ"": 94.01241321181224}"
2000-08-25,"{""SQQQ"": 12.568687160817483, ""TQQQ"": 87.43131283918252}"
2000-08-28,"{""SQQQ"": 8.50817237518353, ""TQQQ"": 91.49182762481647}"
2000-08-29,"{""SQQQ"": 3.4189659091150126, ""TQQQ"": 96.58103409088498}"
2000-08-30,"{""SQQQ"": 5.074910542690048, ""TQQQ"": 94.92508945730995}"
2000-08-31,"{""cash"": 100.0}"
2000-09-01,"{""cash"": 100.0}"
2000-09-05,"{""SQQQ"": 2.4011000634652113, ""TQQQ"": 97.59889993653479}"
2000-09-06,"{""SQQQ"": 39.741995648119314, ""TQQQ"": 60.258004351880686}"
2000-09-07,"{""SQQQ"": 18.46787855232731, ""TQQQ"": 81.5321214476727}"
2000-09-08,"{""SQQQ"": 50.282978624554886, ""TQQQ"": 49.71702137544512}"
2000-09-11,"{""SQQQ"": 74.80940608169323, ""TQQQ"": 25.190593918306785}"
2000-09-12,"{""SQQQ"": 89.48919200922593, ""TQQQ"": 10.510807990774063}"
2000-09-13,"{""SQQQ"": 66.84235881767529, ""TQQQ"": 33.15764118232471}"
2000-09-14,"{""SQQQ"": 72.31450696430616, ""TQQQ"": 27.685493035693842}"
2000-09-15,"{""SQQQ"": 89.5162602742911, ""TQQQ"": 10.483739725708894}"
2000-09-18,"{""SQQQ"": 100.0}"
2000-09-19,"{""SQQQ"": 68.34192394398997, ""TQQQ"": 31.65807605601004}"
2000-09-20,"{""SQQQ"": 53.126739870908054, ""TQQQ"": 46.873260129091946}"
2000-09-21,"{""SQQQ"": 100.0}"
2000-09-22,"{""SQQQ"": 67.79020848331938, ""TQQQ"": 32.20979151668061}"
2000-09-25,"{""SQQQ"": 91.74807285481387, ""TQQQ"": 8.251927145186134}"
2000-09-26,"{""SQQQ"": 100.0}"
2000-09-27,"{""SQQQ"": 96.83193235981535, ""TQQQ"": 3.1680676401846517}"
2000-09-28,"{""SQQQ"": 74.3745785028421, ""TQQQ"": 25.625421497157895}"
2000-09-29,"{""SQQQ"": 100.0}"
2000-10-02,"{""SQQQ"": 100.0}"
2000-10-03,"{""SQQQ"": 100.0}"
2000-10-04,"{""SQQQ"": 100.0}"
2000-10-05,"{""SQQQ"": 100.0}"
2000-10-06,"{""SQQQ"": 100.0}"
2000-10-09,"{""SQQQ"": 100.0}"
2000-10-10,"{""SQQQ"": 100.0}"
2000-10-11,"{""SQQQ"": 100.0}"
2000-10-12,"{""SQQQ"": 100.0}"
2000-10-13,"{""SQQQ"": 100.0}"
2000-10-16,"{""SQQQ"": 100.0}"
2000-10-17,"{""SQQQ"": 100.0}"
2000-10-18,"{""SQQQ"": 100.0}"
2000-10-19,"{""SQQQ"": 100.0}"
2000-10-20,"{""SQQQ"": 98.47874001794274, ""TQQQ"": 1.5212599820572659}"
2000-10-23,"{""SQQQ"": 98.78589644084701, ""TQQQ"": 1.2141035591529958}"
2000-10-24,"{""SQQQ"": 100.0}"
2000-10-25,"{""SQQQ"": 100.0}"
2000-10-26,"{""SQQQ"": 100.0}"
2000-10-27,"{""SQQQ"": 100.0}"
2000-10-30,"{""SQQQ"": 100.0}"
2000-10-31,"{""SQQQ"": 100.0}"
2000-11-01,"{""SQQQ"": 100.0}"
2000-11-02,"{""SQQQ"": 100.0}"
2000-11-03,"{""SQQQ"": 100.0}"
2000-11-06,"{""SQQQ"": 100.0}"
2000-11-07,"{""SQQQ"": 100.0}"
2000-11-08,"{""SQQQ"": 100.0}"
2000-11-09,"{""SQQQ"": 100.0}"
2000-11-10,"{""SQQQ"": 100.0}"
2000-11-13,"{""SQQQ"": 100.0}"
2000-11-14,"{""SQQQ"": 100.0}"
2000-11-15,"{""SQQQ"": 100.0}"
2000-11-16,"{""SQQQ"": 100.0}"
2000-11-17,"{""SQQQ"": 100.0}"
2000-11-20,"{""SQQQ"": 100.0}"
2000-11-21,"{""SQQQ"": 100.0}"
2000-11-22,"{""SQQQ"": 100.0}"
2000-11-24,"{""SQQQ"": 100.0}"
2000-11-27,"{""SQQQ"": 100.0}"
2000-11-28,"{""SQQQ"": 100.0}"
2000-11-29,"{""SQQQ"": 100.0}"
2000-11-30,"{""SQQQ"": 100.0}"
2000-12-01,"{""SQQQ"": 100.0}"
2000-12-04,"{""SQQQ"": 100.0}"
2000-12-05,"{""SQQQ"": 100.0}"
2000-12-06,"{""SQQQ"": 100.0}"
2000-12-07,"{""SQQQ"": 100.0}"
2000-12-08,"{""SQQQ"": 100.0}"
2000-12-11,"{""SQQQ"": 73.80424921408527, ""TQQQ"": 26.19575078591473}"
2000-12-12,"{""SQQQ"": 100.0}"
2000-12-13,"{""SQQQ"": 100.0}"
2000-12-14,"{""SQQQ"": 100.0}"
2000-12-15,"{""SQQQ"": 100.0}"
2000-12-18,"{""SQQQ"": 100.0}"
2000-12-19,"{""SQQQ"": 100.0}"
2000-12-20,"{""SQQQ"": 100.0}"
2000-12-21,"{""SQQQ"": 100.0}"
2000-12-22,"{""SQQQ"": 100.0}"
2000-12-26,"{""SQQQ"": 100.0}"
2000-12-27,"{""SQQQ"": 100.0}"
2000-12-28,"{""SQQQ"": 100.0}"
2000-12-29,"{""SQQQ"": 100.0}"
2001-01-02,"{""SQQQ"": 100.0}"
2001-01-03,"{""SQQQ"": 100.0}"
2001-01-04,"{""SQQQ"": 100.0}"
2001-01-05,"{""SQQQ"": 100.0}"
2001-01-08,"{""SQQQ"": 100.0}"
2001-01-09,"{""SQQQ"": 100.0}"
2001-01-10,"{""SQQQ"": 100.0}"
2001-01-11,"{""SQQQ"": 100.0}"
2001-01-12,"{""SQQQ"": 100.0}"
2001-01-16,"{""SQQQ"": 100.0}"
2001-01-17,"{""SQQQ"": 87.68147529272156, ""TQQQ"": 12.31852470727845}"
2001-01-18,"{""SQQQ"": 42.25749532255365, ""TQQQ"": 57.74250467744635}"
2001-01-19,"{""SQQQ"": 41.134209721797646, ""TQQQ"": 58.865790278202354}"
2001-01-22,"{""SQQQ"": 35.20272906279865, ""TQQQ"": 64.79727093720135}"
2001-01-23,"{""SQQQ"": 11.486467760659913, ""TQQQ"": 88.5135322393401}"
2001-01-24,"{""SQQQ"": 18.63450975791232, ""TQQQ"": 81.36549024208767}"
2001-01-25,"{""SQQQ"": 56.71165860586884, ""TQQQ"": 43.288341394131166}"
2001-01-26,"{""SQQQ"": 39.21352631856212, ""TQQQ"": 60.78647368143788}"
2001-01-29,"{""SQQQ"": 13.922955266453174, ""TQQQ"": 86.07704473354683}"
2001-01-30,"{""SQQQ"": 14.405733488786899, ""TQQQ"": 85.5942665112131}"
2001-01-31,"{""SQQQ"": 49.77494936360689, ""TQQQ"": 50.22505063639311}"
2001-02-01,"{""SQQQ"": 34.06461881665859, ""TQQQ"": 65.9353811833414}"
2001-02-02,"{""SQQQ"": 87.81212991263979, ""TQQQ"": 12.187870087360213}"
